sector,total_pnl,trade_count,avg_pnl
Unknown,18062203.63542781,4487,4025.4521139799
Technology,158321.5558042641,137,1155.6317941917087
Communication Services,94023.26345026825,156,602.7132272453093
Energy,69985.35806457415,361,193.86525779660428
Healthcare,56414.006729463596,80,705.175084118295
Basic Materials,8111.591538786449,72,112.66099359425624
Consumer Cyclical,3973.806081960751,9,441.5340091067501
Industrials,-3285.4247490893677,10,-328.54247490893675
Consumer Defensive,-464998.5207183303,181,-2569.0526006537584
Financial Services,-513100.76428404375,1389,-369.4029980446679
